HEX ID,DATE,CHANGES,,"git log --since=""2024-01-01"" --pretty=format:'%h,%an,%ar,%s' > log.csv",,,,,,,,,
111ad4f,2 days ago,revise toei biodata,,,,,,,,,,,
789adb9,2 days ago,fix,,,,,,,,,,,
a77216b,2 days ago,fix rtp,,,,,,,,,,,
b841c1c,2 days ago,shortcuts,,,,,,,,,,,
49a630c,5 days ago,fix license no expiry,,,,,,,,,,,
cba84fe,5 days ago,fix firefighting typo,,,,,,,,,,,
e1e1fbc,5 days ago,fix checklist no expiry date on coc,,,,,,,,,,,
7f7baed,5 days ago,fix,,,,,,,,,,,
5dc310f,5 days ago,dennis canete can see other fleet,,,,,,,,,,,
ab6c846,7 days ago,crew vessel,,,,,,,,,,,
7045926,7 days ago,fix,,,,,,,,,,,
19f18bc,7 days ago,revise request to process,,,,,,,,,,,
211cf05,7 days ago,fix error. will not match with 2 word country like marshall islands,,,,,,,,,,,
52eeb86,7 days ago,fix competency checklist part 2,,,,,,,,,,,
5450145,7 days ago,fix hmm crew competency checklist part 1,,,,,,,,,,,
1258aa8,7 days ago,search by lname  fname format,,,,,,,,,,,
7753142,7 days ago,sir kit can see all crew,,,,,,,,,,,
c48ed88,7 days ago,fix hmm mlc typo,,,,,,,,,,,
2ef6c6c,8 days ago,fix fishing document checklist flag medical,,,,,,,,,,,
312f93b,8 days ago,export final document checklist in vessel crew list,,,,,,,,,,,
8743ced,8 days ago,fix toei final checklist flag document,,,,,,,,,,,
c454bd4,8 days ago,fix fleet d final checklist flag medical,,,,,,,,,,,
db3c66c,8 days ago,fix fleet c final checklist flag medical,,,,,,,,,,,
c05114d,8 days ago,fix fleet b checklist flag medical,,,,,,,,,,,
9c54ae5,8 days ago,fix,,,,,,,,,,,
4c7cd86,8 days ago,fix,,,,,,,,,,,
1b152d3,8 days ago,fix biodata western liberia,,,,,,,,,,,
3117f9a,8 days ago,fix,,,,,,,,,,,
a9932ab,8 days ago,revise toei biodata,,,,,,,,,,,
1a31594,8 days ago,revision toei biodata,,,,,,,,,,,
a311482,9 days ago,fix onboard vessel error for user with fleet,,,,,,,,,,,
a1d5dc8,12 days ago,fix,,,,,,,,,,,
892ea6a,12 days ago,hmm mlc revision,,,,,,,,,,,
c0dcb2d,2 weeks ago,fix last vessel,,,,,,,,,,,
fafc0f0,2 weeks ago,sir gwak principal,,,,,,,,,,,
0e5ed48,2 weeks ago,sir kit maam abby can see toei,,,,,,,,,,,
c7f0b5d,3 weeks ago,fix,,,,,,,,,,,
8ce1f94,4 weeks ago,add ship safety to toei some toei deck officers,,,,,,,,,,,
4390feb,4 weeks ago,revise,,,,,,,,,,,
f88b08b,4 weeks ago,fix,,,,,,,,,,,
ea1ef0f,4 weeks ago,retain filters,,,,,,,,,,,
